pulled_at,post_id,post_url,post_topic,impressions,total_engagements,engagement_rate
7/12/2026,7422035873782845443,https://www.linkedin.com/posts/s-thiru_share-7422035873782845443-8kpm,share 7422035873782845443 8kpm,15,0,0.0
7/12/2026,7386779528435773440,https://www.linkedin.com/posts/s-thiru_opentowork-layoffs-resilience-share-7386779528435773440-Eo1h,opentowork layoffs resilience,5,0,0.0
7/12/2026,7386883754679615489,https://www.linkedin.com/posts/s-thiru_unemployednotunworthy-careerpivots-faithinthewaiting-share-7386883754679615489-N7-B,unemployednotunworthy careerpivots faithinthewaiting,6,0,0.0
7/12/2026,7386909013470236672,https://www.linkedin.com/posts/s-thiru_jobsearchhumor-opentowork-rejectionresilience-share-7386909013470236672-tiHf,jobsearchhumor opentowork rejectionresilience,6,0,0.0
7/12/2026,6991224982496301056,https://www.linkedin.com/posts/s-thiru_interdependency-between-product-and-program-share-6991224982496301056-rj3o,interdependency between product and program,1,0,0.0
7/12/2026,6991956183100112896,https://www.linkedin.com/posts/s-thiru_doing-pricing-strategy-research-for-a-class-share-6991956183100112896-tsF0,doing pricing strategy research for a class,1,0,0.0
7/12/2026,7390434172122812416,https://www.linkedin.com/posts/s-thiru_machinelearning-mlops-ai-share-7390434172122812416-Vyxo,machinelearning mlops ai,6,0,0.0
7/12/2026,7444838077958651904,https://www.linkedin.com/posts/s-thiru_jobsearchstruggles-ats-candidateexperience-share-7444838077958651904-qeLk,jobsearchstruggles ats candidateexperience,52,0,0.0
7/12/2026,7462965458904969217,https://www.linkedin.com/posts/s-thiru_im-attending-the-data-driven-path-to-consumption-based-ugcPost-7462965458904969217-wyMO,im attending the data driven path to consumption based,58,0,0.0
7/12/2026,7481381790818148352,https://www.linkedin.com/posts/s-thiru_perforces-2026-platform-engineering-report-share-7481381790818148352-fFVy,perforces 2026 platform engineering report,264,1,0.0038
7/12/2026,7481150756449067009,https://www.linkedin.com/posts/s-thiru_platform-thinking-ive-noticed-a-pattern-share-7481150756449067009-nhUU,platform thinking ive noticed a pattern,384,2,0.0052
7/14/2026,7422035873782845443,https://www.linkedin.com/posts/s-thiru_share-7422035873782845443-8kpm,share 7422035873782845443 8kpm,1,0,0.0
7/14/2026,7386779528435773440,https://www.linkedin.com/posts/s-thiru_opentowork-layoffs-resilience-share-7386779528435773440-Eo1h,opentowork layoffs resilience,1,0,0.0
7/14/2026,7386883754679615489,https://www.linkedin.com/posts/s-thiru_unemployednotunworthy-careerpivots-faithinthewaiting-share-7386883754679615489-N7-B,unemployednotunworthy careerpivots faithinthewaiting,1,0,0.0
7/14/2026,7386909013470236672,https://www.linkedin.com/posts/s-thiru_jobsearchhumor-opentowork-rejectionresilience-share-7386909013470236672-tiHf,jobsearchhumor opentowork rejectionresilience,1,0,0.0
7/14/2026,6991224982496301056,https://www.linkedin.com/posts/s-thiru_interdependency-between-product-and-program-share-6991224982496301056-rj3o,interdependency between product and program,1,0,0.0
7/14/2026,6991956183100112896,https://www.linkedin.com/posts/s-thiru_doing-pricing-strategy-research-for-a-class-share-6991956183100112896-tsF0,doing pricing strategy research for a class,1,0,0.0
7/14/2026,7390434172122812416,https://www.linkedin.com/posts/s-thiru_machinelearning-mlops-ai-share-7390434172122812416-Vyxo,machinelearning mlops ai,1,0,0.0
7/14/2026,7444838077958651904,https://www.linkedin.com/posts/s-thiru_jobsearchstruggles-ats-candidateexperience-share-7444838077958651904-qeLk,jobsearchstruggles ats candidateexperience,6,0,0.0
7/14/2026,7462965458904969217,https://www.linkedin.com/posts/s-thiru_im-attending-the-data-driven-path-to-consumption-based-ugcPost-7462965458904969217-wyMO,im attending the data driven path to consumption based,26,0,0.0
7/14/2026,7481381790818148352,https://www.linkedin.com/posts/s-thiru_perforces-2026-platform-engineering-report-share-7481381790818148352-fFVy,perforces 2026 platform engineering report,350,1,0.0029
7/14/2026,7482627366121402368,https://www.linkedin.com/posts/s-thiru_%F0%9D%90%8D%F0%9D%90%A8%F0%9D%90%9B%F0%9D%90%A8%F0%9D%90%9D%F0%9D%90%B2-%F0%9D%90%8A%F0%9D%90%A7%F0%9D%90%9E%F0%9D%90%B0-%F0%9D%90%96%F0%9D%90%A1%F0%9D%90%9A%F0%9D%90%AD-%F0%9D%90%96%F0%9D%90%A8%F0%9D%90%AE%F0%9D%90%A5%F0%9D%90%9D-share-7482627366121402368-cTT_,Nobody Knew What Would,107,1,0.0093
7/14/2026,7481630345667325952,https://www.linkedin.com/posts/s-thiru_hughes-was-basically-the-1940s-elon-musk-ugcPost-7481630345667325952-P2u0,hughes was basically the 1940s elon musk,150,0,0.0
7/14/2026,7482827798571831296,https://www.linkedin.com/posts/s-thiru_this-resonates-and-it-echoes-something-ive-share-7482827798571831296-VRzY,this resonates and it echoes something ive,74,1,0.0135
7/14/2026,7481150756449067009,https://www.linkedin.com/posts/s-thiru_platform-thinking-%F0%9D%97%9C%F0%9D%98%83%F0%9D%97%B2-%F0%9D%97%BB%F0%9D%97%BC%F0%9D%98%81%F0%9D%97%B6%F0%9D%97%B0%F0%9D%97%B2%F0%9D%97%B1-share-7481150756449067009-RZeU,platform thinking Ive noticed,439,4,0.0091
7/14/2026,7482870341233516545,https://www.linkedin.com/posts/s-thiru_%F0%9D%97%98%F0%9D%98%83%F0%9D%97%B2%F0%9D%97%BF-%F0%9D%98%84%F0%9D%97%BC%F0%9D%97%BB%F0%9D%97%B1%F0%9D%97%B2%F0%9D%97%BF-%F0%9D%98%84%F0%9D%97%B5%F0%9D%97%BC-%F0%9D%98%81%F0%9D%97%B5%F0%9D%97%B2-%F0%9D%97%98%F0%9D%97%B9%F0%9D%97%BC%F0%9D%97%BB-share-7482870341233516545-DRzP,Ever wonder who the Elon,119,3,0.0252
7/16/2026,7422035873782845443,https://www.linkedin.com/posts/s-thiru_share-7422035873782845443-8kpm,share 7422035873782845443 8kpm,2,0,0.0
7/16/2026,7386779528435773440,https://www.linkedin.com/posts/s-thiru_opentowork-layoffs-resilience-share-7386779528435773440-Eo1h,opentowork layoffs resilience,2,0,0.0
7/16/2026,7386883754679615489,https://www.linkedin.com/posts/s-thiru_unemployednotunworthy-careerpivots-faithinthewaiting-share-7386883754679615489-N7-B,unemployednotunworthy careerpivots faithinthewaiting,3,0,0.0
7/16/2026,7386909013470236672,https://www.linkedin.com/posts/s-thiru_jobsearchhumor-opentowork-rejectionresilience-share-7386909013470236672-tiHf,jobsearchhumor opentowork rejectionresilience,3,0,0.0
7/16/2026,6991224982496301056,https://www.linkedin.com/posts/s-thiru_interdependency-between-product-and-program-share-6991224982496301056-rj3o,interdependency between product and program,2,0,0.0
7/16/2026,6991956183100112896,https://www.linkedin.com/posts/s-thiru_doing-pricing-strategy-research-for-a-class-share-6991956183100112896-tsF0,doing pricing strategy research for a class,3,0,0.0
7/16/2026,7390434172122812416,https://www.linkedin.com/posts/s-thiru_machinelearning-mlops-ai-share-7390434172122812416-Vyxo,machinelearning mlops ai,5,0,0.0
7/16/2026,7444838077958651904,https://www.linkedin.com/posts/s-thiru_jobsearchstruggles-ats-candidateexperience-share-7444838077958651904-qeLk,jobsearchstruggles ats candidateexperience,7,0,0.0
7/16/2026,7462965458904969217,https://www.linkedin.com/posts/s-thiru_im-attending-the-data-driven-path-to-consumption-based-ugcPost-7462965458904969217-wyMO,im attending the data driven path to consumption based,26,0,0.0
7/16/2026,7481381790818148352,https://www.linkedin.com/posts/s-thiru_perforces-2026-platform-engineering-report-share-7481381790818148352-fFVy,perforces 2026 platform engineering report,382,1,0.0026
7/16/2026,7482627366121402368,https://www.linkedin.com/posts/s-thiru_%F0%9D%90%8D%F0%9D%90%A8%F0%9D%90%9B%F0%9D%90%A8%F0%9D%90%9D%F0%9D%90%B2-%F0%9D%90%8A%F0%9D%90%A7%F0%9D%90%9E%F0%9D%90%B0-%F0%9D%90%96%F0%9D%90%A1%F0%9D%90%9A%F0%9D%90%AD-%F0%9D%90%96%F0%9D%90%A8%F0%9D%90%AE%F0%9D%90%A5%F0%9D%90%9D-share-7482627366121402368-cTT_,Nobody Knew What Would,165,1,0.0061
7/16/2026,7481630345667325952,https://www.linkedin.com/posts/s-thiru_hughes-was-basically-the-1940s-elon-musk-ugcPost-7481630345667325952-P2u0,hughes was basically the 1940s elon musk,1762,1,0.0006
7/16/2026,7482870341233516545,https://www.linkedin.com/posts/s-thiru_%F0%9D%97%98%F0%9D%98%83%F0%9D%97%B2%F0%9D%97%BF-%F0%9D%98%84%F0%9D%97%BC%F0%9D%97%BB%F0%9D%97%B1%F0%9D%97%B2%F0%9D%97%BF-%F0%9D%98%84%F0%9D%97%B5%F0%9D%97%BC-%F0%9D%98%81%F0%9D%97%B5%F0%9D%97%B2-%F0%9D%97%98%F0%9D%97%B9%F0%9D%97%BC%F0%9D%97%BB-share-7482870341233516545-DRzP,Ever wonder who the Elon,207,3,0.0145
7/16/2026,7482827798571831296,https://www.linkedin.com/posts/s-thiru_this-resonates-and-it-echoes-something-ive-share-7482827798571831296-VRzY,this resonates and it echoes something ive,129,1,0.0078
7/16/2026,7483188388079149057,https://www.linkedin.com/posts/s-thiru_linkedin-pulse-share-7483188388079149057-vNIF,linkedin pulse,121,2,0.0165
7/16/2026,7481642156231827457,https://www.linkedin.com/posts/s-thiru_output-inference-and-prediction-why-engineers-ugcPost-7481642156231827457-2Ifk,output inference and prediction why engineers,143,1,0.007
7/16/2026,7483486963497525248,https://www.linkedin.com/posts/s-thiru_%F0%9D%90%80%F0%9D%90%A0%F0%9D%90%9E%F0%9D%90%A7%F0%9D%90%AD%F0%9D%90%A2%F0%9D%90%9C-%F0%9D%90%87%F0%9D%90%A8%F0%9D%90%A6%F0%9D%90%9E%F0%9D%90%AC-%F0%9D%90%80-%F0%9D%90%85%F0%9D%90%AB%F0%9D%90%A2%F0%9D%90%9C%F0%9D%90%AD%F0%9D%90%A2%F0%9D%90%A8%F0%9D%90%A7%F0%9D%90%A5%F0%9D%90%9E%F0%9D%90%AC%F0%9D%90%AC-share-7483486963497525248-9isy,Agentic Homes A Frictionless,55,2,0.0364
7/16/2026,7483371288401727488,https://www.linkedin.com/posts/s-thiru_the-line-that-stayed-with-me-%F0%9D%90%93%F0%9D%90%A1%F0%9D%90%9E-%F0%9D%90%A6%F0%9D%90%9A%F0%9D%90%A5%F0%9D%90%A2%F0%9D%90%9C%F0%9D%90%A2%F0%9D%90%A8%F0%9D%90%AE%F0%9D%90%AC-share-7483371288401727488-TNul,the line that stayed with me The malicious,58,1,0.0172
7/16/2026,7481150756449067009,https://www.linkedin.com/posts/s-thiru_platform-thinking-%F0%9D%97%9C%F0%9D%98%83%F0%9D%97%B2-%F0%9D%97%BB%F0%9D%97%BC%F0%9D%98%81%F0%9D%97%B6%F0%9D%97%B0%F0%9D%97%B2%F0%9D%97%B1-share-7481150756449067009-RZeU,platform thinking Ive noticed,461,4,0.0087
07/18/2026,7422035873782845443,https://www.linkedin.com/posts/s-thiru_share-7422035873782845443-8kpm,share 7422035873782845443 8kpm,5,0,0.0
07/18/2026,7386779528435773440,https://www.linkedin.com/posts/s-thiru_opentowork-layoffs-resilience-share-7386779528435773440-Eo1h,opentowork layoffs resilience,3,0,0.0
07/18/2026,7386883754679615489,https://www.linkedin.com/posts/s-thiru_unemployednotunworthy-careerpivots-faithinthewaiting-share-7386883754679615489-N7-B,unemployednotunworthy careerpivots faithinthewaiting,7,0,0.0
07/18/2026,7386909013470236672,https://www.linkedin.com/posts/s-thiru_jobsearchhumor-opentowork-rejectionresilience-share-7386909013470236672-tiHf,jobsearchhumor opentowork rejectionresilience,5,0,0.0
07/18/2026,6991224982496301056,https://www.linkedin.com/posts/s-thiru_interdependency-between-product-and-program-share-6991224982496301056-rj3o,interdependency between product and program,1,0,0.0
07/18/2026,6991956183100112896,https://www.linkedin.com/posts/s-thiru_doing-pricing-strategy-research-for-a-class-share-6991956183100112896-tsF0,doing pricing strategy research for a class,2,0,0.0
07/18/2026,7390434172122812416,https://www.linkedin.com/posts/s-thiru_machinelearning-mlops-ai-share-7390434172122812416-Vyxo,machinelearning mlops ai,12,0,0.0
07/18/2026,7444838077958651904,https://www.linkedin.com/posts/s-thiru_jobsearchstruggles-ats-candidateexperience-share-7444838077958651904-qeLk,jobsearchstruggles ats candidateexperience,17,0,0.0
07/18/2026,7462965458904969217,https://www.linkedin.com/posts/s-thiru_im-attending-the-data-driven-path-to-consumption-based-ugcPost-7462965458904969217-wyMO,im attending the data driven path to consumption based,33,0,0.0
07/18/2026,7481381790818148352,https://www.linkedin.com/posts/s-thiru_perforces-2026-platform-engineering-report-share-7481381790818148352-fFVy,perforces 2026 platform engineering report,162,0,0.0
07/18/2026,7482627366121402368,https://www.linkedin.com/posts/s-thiru_careeradvice-leadership-techcareers-share-7482627366121402368-mQ91,careeradvice leadership techcareers,190,1,0.0053
07/18/2026,7482870341233516545,https://www.linkedin.com/posts/s-thiru_storytelling-innovation-leadership-share-7482870341233516545-XLFp,storytelling innovation leadership,261,3,0.0115
07/18/2026,7481630345667325952,https://www.linkedin.com/posts/s-thiru_innovation-history-entrepreneurship-ugcPost-7481630345667325952-uuXq,innovation history entrepreneurship,3840,2,0.0005
